target_names,left_zone,right_zone,upper_zone,down_zone,target
O,27.1484375,22.8515625,24.4140625,25.5859375,0
O,26.853526220614828,23.146473779385172,23.688969258589513,26.311030741410487,0
O,26.203208556149733,23.796791443850267,24.50980392156863,25.49019607843137,0
O,27.50455373406193,22.495446265938067,23.406193078324225,26.59380692167577,0
O,26.055045871559635,23.94495412844037,24.403669724770644,25.59633027522936,0
O,26.80505415162455,23.194945848375454,23.465703971119137,26.534296028880867,0
O,26.534653465346537,23.465346534653467,23.06930693069307,26.930693069306933,0
O,27.160493827160494,22.839506172839506,24.514991181657848,25.485008818342152,0
O,27.027027027027025,22.972972972972972,24.324324324324323,25.675675675675674,0
O,26.007326007326007,23.992673992673993,23.26007326007326,26.739926739926737,0
O,27.031509121061358,22.96849087893864,23.71475953565506,26.28524046434494,0
O,26.22259696458685,23.777403035413155,23.524451939291737,26.475548060708263,0
O,26.066790352504636,23.93320964749536,24.953617810760665,25.04638218923933,0
O,27.114427860696516,22.88557213930348,25.041459369817577,24.95854063018242,0
O,26.355140186915886,23.64485981308411,23.457943925233643,26.542056074766354,0
O,25.70921985815603,24.29078014184397,23.138297872340427,26.861702127659576,0
O,27.30769230769231,22.692307692307693,24.80769230769231,25.192307692307693,0
O,27.777777777777775,22.22222222222222,23.318713450292396,26.6812865497076,0
O,25.095785440613028,24.904214559386975,24.137931034482758,25.862068965517242,0
O,25.22603978300181,24.77396021699819,25.135623869801083,24.864376130198917,0
O,27.25598526703499,22.74401473296501,25.046040515653775,24.953959484346225,0
O,26.678765880217785,23.321234119782215,25.317604355716878,24.682395644283122,0
O,27.287581699346404,22.712418300653596,25.0,25.0,0
O,27.597955706984667,22.402044293015333,24.020442930153322,25.979557069846678,0
O,26.621160409556317,23.378839590443686,25.341296928327647,24.658703071672356,0
O,26.765799256505574,23.234200743494423,23.79182156133829,26.208178438661708,0
O,26.795580110497237,23.204419889502763,24.861878453038674,25.138121546961326,0
O,26.718213058419245,23.281786941580755,23.79725085910653,26.20274914089347,0
O,24.95575221238938,25.04424778761062,23.539823008849556,26.46017699115044,0
O,26.759410801963995,23.24058919803601,24.058919803600656,25.941080196399348,0
O,26.88073394495413,23.119266055045873,21.926605504587158,28.073394495412845,0
O,25.912408759124087,24.087591240875913,23.54014598540146,26.45985401459854,0
O,26.824817518248175,23.175182481751825,23.54014598540146,26.45985401459854,0
O,26.83823529411765,23.161764705882355,22.518382352941178,27.481617647058826,0
O,25.477099236641223,24.52290076335878,24.045801526717558,25.954198473282446,0
O,26.511226252158895,23.488773747841105,23.661485319516405,26.33851468048359,0
O,26.739926739926737,23.26007326007326,24.54212454212454,25.457875457875456,0
O,26.870748299319725,23.12925170068027,24.65986394557823,25.34013605442177,0
O,26.348920863309353,23.651079136690647,24.550359712230215,25.449640287769782,0
O,26.628664495114005,23.37133550488599,23.12703583061889,26.872964169381106,0
O,27.636363636363637,22.363636363636363,24.0,26.0,0
O,25.513698630136986,24.486301369863014,23.28767123287671,26.712328767123285,0
O,25.95356550580431,24.046434494195687,23.217247097844112,26.782752902155888,0
O,27.42998352553542,22.570016474464577,23.88797364085667,26.112026359143325,0
O,26.97368421052632,23.026315789473685,24.835526315789476,25.164473684210527,0
O,26.203208556149733,23.796791443850267,24.777183600713013,25.222816399286987,0
O,27.532228360957642,22.467771639042358,24.40147329650092,25.59852670349908,0
