target_names,horizontal_w_to_b,horizontal_b_to_w,vertical_w_to_b,vertical_b_to_w,target
O,51.21951219512195,2.4390243902439024,19.51219512195122,26.829268292682926,0
O,52.32558139534884,2.3255813953488373,20.930232558139537,24.41860465116279,0
O,52.17391304347826,2.1739130434782608,20.652173913043477,25.0,0
O,51.68539325842697,2.247191011235955,23.59550561797753,22.471910112359552,0
O,49.42528735632184,2.2988505747126435,21.839080459770113,26.4367816091954,0
O,53.75,2.5,21.25,22.5,0
O,54.43037974683545,2.5316455696202533,21.518987341772153,21.518987341772153,0
O,51.72413793103448,2.2988505747126435,20.689655172413794,25.287356321839077,0
O,54.32098765432099,2.4691358024691357,17.28395061728395,25.925925925925924,0
O,52.68817204301075,2.150537634408602,22.58064516129032,22.58064516129032,0
O,48.91304347826087,2.1739130434782608,21.73913043478261,27.173913043478258,0
O,53.26086956521739,2.1739130434782608,15.217391304347824,29.34782608695652,0
O,54.76190476190476,2.380952380952381,19.047619047619047,23.80952380952381,0
O,55.95238095238095,2.380952380952381,17.857142857142858,23.80952380952381,0
O,54.651162790697676,2.3255813953488373,17.44186046511628,25.581395348837212,0
1,44.73684210526316,4.385964912280701,24.561403508771928,26.31578947368421,1
1,43.08943089430894,2.4390243902439024,24.390243902439025,30.08130081300813,1
1,48.18181818181818,4.545454545454545,22.727272727272727,24.545454545454543,1
1,43.90243902439024,4.0650406504065035,18.69918699186992,33.333333333333336,1
1,40.67796610169491,2.542372881355932,25.423728813559322,31.35593220338983,1
1,45.299145299145295,2.564102564102564,20.51282051282051,31.62393162393162,1
1,47.826086956521735,3.4782608695652173,19.130434782608695,29.565217391304348,1
1,50.0,4.464285714285714,22.321428571428573,23.214285714285715,1
1,48.64864864864865,4.504504504504505,18.91891891891892,27.92792792792793,1
1,51.81818181818181,4.545454545454545,22.727272727272727,20.90909090909091,1
1,43.08943089430894,3.252032520325203,21.95121951219512,31.70731707317073,1
1,44.18604651162791,2.3255813953488373,22.48062015503876,31.007751937984498,1
1,44.95412844036697,3.669724770642202,25.688073394495415,25.688073394495415,1
1,40.869565217391305,2.608695652173913,21.73913043478261,34.78260869565217,1
1,50.442477876106196,5.3097345132743365,21.238938053097346,23.008849557522126,1
1,48.113207547169814,3.7735849056603774,23.58490566037736,24.528301886792452,1
1,47.008547008547005,3.4188034188034186,22.22222222222222,27.35042735042735,1
1,47.95918367346939,3.0612244897959187,26.53061224489796,22.448979591836736,1
1,48.57142857142857,4.761904761904762,22.857142857142854,23.809523809523807,1
1,44.44444444444444,4.273504273504273,29.914529914529915,21.367521367521366,1
1,43.4108527131783,3.10077519379845,24.031007751937985,29.457364341085274,1
1,46.15384615384615,4.273504273504273,18.803418803418804,30.769230769230766,1
1,43.47826086956522,2.608695652173913,22.608695652173914,31.304347826086957,1
1,45.299145299145295,2.564102564102564,23.076923076923077,29.05982905982906,1
1,44.14414414414414,2.7027027027027026,22.52252252252252,30.63063063063063,1
1,50.86206896551724,3.4482758620689653,25.86206896551724,19.82758620689655,1
1,49.52380952380952,3.8095238095238093,28.57142857142857,18.095238095238095,1
1,43.442622950819676,3.278688524590164,25.40983606557377,27.868852459016395,1
1,40.65040650406504,3.252032520325203,23.577235772357724,32.52032520325203,1
1,45.16129032258064,4.032258064516129,22.58064516129032,28.2258064516129,1
1,44.26229508196722,4.0983606557377055,27.049180327868854,24.59016393442623,1
1,50.86206896551724,2.586206896551724,28.448275862068964,18.103448275862068,1
1,45.762711864406775,2.542372881355932,22.881355932203387,28.813559322033896,1
1,48.739495798319325,4.201680672268908,19.327731092436974,27.73109243697479,1
1,43.84615384615385,3.8461538461538463,20.0,32.30769230769231,1
1,47.57281553398058,2.912621359223301,22.33009708737864,27.184466019417478,1
1,47.5,4.166666666666667,24.166666666666668,24.166666666666668,1
1,46.66666666666667,4.166666666666667,25.833333333333336,23.333333333333336,1
1,44.09448818897638,3.1496062992125986,23.62204724409449,29.133858267716537,1
1,44.91525423728813,3.389830508474576,27.11864406779661,24.576271186440678,1
1,44.274809160305345,3.816793893129771,20.610687022900766,31.297709923664126,1
1,46.28099173553719,2.479338842975207,21.487603305785125,29.75206611570248,1
1,52.67857142857143,3.5714285714285716,26.78571428571429,16.964285714285715,1
1,46.28099173553719,4.132231404958678,24.793388429752067,24.793388429752067,1
1,45.52845528455285,2.4390243902439024,23.577235772357724,28.455284552845526,1
1,46.45669291338583,3.1496062992125986,22.04724409448819,28.34645669291339,1
1,44.53125,3.125,25.78125,26.5625,1
1,53.153153153153156,4.504504504504505,20.72072072072072,21.62162162162162,1
1,51.78571428571429,2.678571428571429,26.78571428571429,18.75,1
1,58.762886597938135,4.123711340206185,21.649484536082472,15.463917525773194,1
1,58.0,4.0,25.0,13.0,1
1,46.03174603174603,3.968253968253968,23.015873015873016,26.984126984126984,1
1,50.0,4.545454545454545,23.636363636363637,21.818181818181817,1
1,41.42857142857143,2.857142857142857,23.571428571428573,32.142857142857146,1
1,55.769230769230774,3.8461538461538463,25.0,15.384615384615385,1
1,45.90163934426229,3.278688524590164,27.868852459016395,22.950819672131146,1
1,45.833333333333336,4.166666666666667,25.833333333333336,24.166666666666668,1
1,49.137931034482754,2.586206896551724,25.86206896551724,22.413793103448274,1
1,42.63565891472869,3.10077519379845,20.930232558139537,33.333333333333336,1
1,45.21739130434783,3.4782608695652173,29.565217391304348,21.73913043478261,1
1,51.181102362204726,3.1496062992125986,18.11023622047244,27.559055118110237,1
