target_names,direction1,direction2,direction3,direction4,direction5,direction6,direction7,direction8,left_zone,right_zone,upper_zone,down_zone,horizontal_w_to_b,horizontal_b_to_w,vertical_w_to_b,vertical_b_to_w,target
O,14.476190476190474,16.38095238095238,18.095238095238095,16.0,13.523809523809524,5.7142857142857135,8.571428571428571,7.238095238095237,27.109375,22.890625,24.296875,25.703125,51.48514851485149,1.9801980198019802,20.792079207920793,25.742574257425744,0
O,13.996316758747698,16.022099447513813,17.863720073664826,16.022099447513813,13.075506445672191,6.077348066298343,9.023941068139964,7.918968692449355,25.495049504950494,24.504950495049506,24.752475247524753,25.247524752475247,48.54368932038835,1.941747572815534,22.33009708737864,27.184466019417478,0
O,14.505494505494505,16.263736263736263,18.24175824175824,16.263736263736263,14.065934065934066,5.714285714285714,8.351648351648352,6.593406593406593,26.779026217228466,23.220973782771537,24.063670411985022,25.936329588014985,52.80898876404495,2.247191011235955,21.348314606741575,23.59550561797753,0
O,14.318181818181818,16.136363636363637,18.18181818181818,16.59090909090909,14.318181818181818,5.909090909090909,8.181818181818182,6.363636363636363,27.62906309751434,22.37093690248566,24.952198852772465,25.04780114722753,53.48837209302326,2.3255813953488373,22.093023255813954,22.093023255813954,0
O,14.285714285714286,15.966386554621849,18.067226890756302,16.386554621848738,13.655462184873949,5.6722689075630255,8.61344537815126,7.352941176470589,26.523297491039425,23.476702508960575,25.089605734767026,24.910394265232974,51.086956521739125,2.1739130434782608,21.73913043478261,25.0,0
O,15.403422982885084,17.359413202933986,17.84841075794621,16.381418092909534,13.447432762836184,4.645476772616137,7.334963325183374,7.579462102689487,26.25754527162978,23.742454728370223,23.340040241448694,26.65995975855131,56.9620253164557,2.5316455696202533,15.18987341772152,25.31645569620253,0
O,14.93212669683258,16.742081447963802,18.099547511312217,16.742081447963802,14.253393665158372,5.203619909502263,7.46606334841629,6.5610859728506785,26.853526220614828,23.146473779385172,23.32730560578662,26.67269439421338,56.97674418604652,2.3255813953488373,18.6046511627907,22.093023255813954,0
O,14.649681528662422,16.772823779193207,18.04670912951168,16.13588110403397,13.800424628450108,5.7324840764331215,8.067940552016985,6.794055201698514,26.470588235294116,23.529411764705884,24.242424242424242,25.757575757575758,53.846153846153854,2.197802197802198,19.78021978021978,24.17582417582418,0
O,14.406779661016948,16.313559322033896,17.796610169491526,15.889830508474576,13.347457627118644,5.932203389830509,8.686440677966102,7.627118644067796,26.69172932330827,23.308270676691727,24.43609022556391,25.563909774436087,52.27272727272728,2.272727272727273,21.590909090909093,23.863636363636367,0
O,14.96881496881497,16.839916839916842,18.08731808731809,15.592515592515593,13.097713097713099,5.197505197505198,8.523908523908524,7.6923076923076925,27.120141342756185,22.879858657243815,23.40989399293286,26.59010600706714,51.61290322580645,2.150537634408602,18.279569892473116,27.956989247311824,0
